brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,22549.0,Cazoo,2019.0,27926.0,2.0,automatic,diesel,-2696.453807273363
Audi,22649.0,Cazoo,2019.0,30516.0,1.5,automatic,petrol,
Audi,22700.0,Marshall,2018.0,24089.0,1.5,automatic,petrol,1470.937444830528
Audi,22799.0,Cazoo,2019.0,34789.0,1.5,automatic,petrol,
Audi,23049.0,Cazoo,2019.0,23879.0,1.5,automatic,petrol,327.7790237446825
Audi,24199.0,Cazoo,2020.0,19608.0,1.5,automatic,petrol,-1008.3010013831008
Audi,24699.0,Cazoo,2019.0,21463.0,2.0,automatic,diesel,-1098.698710020115
Audi,12198.0,Cargiant,2018.0,73325.0,1.5,manual,petrol,-2592.3091411513924
Audi,14400.0,BMWorld,2016.0,17136.0,1.4,manual,petrol,167.5330135026743
Audi,14499.0,Cazoo,2018.0,35767.0,1.5,manual,petrol,
Audi,14700.0,BMWorld,2018.0,38681.0,1.5,manual,petrol,-2896.604778150813
Audi,14800.0,Marshall,2016.0,33685.0,1.4,manual,petrol,1538.4406725127046
Audi,14850.0,BMWorld,2016.0,34719.0,1.4,manual,petrol,2119.9501765850728
Audi,15000.0,Cargiant,2017.0,53047.0,1.5,manual,petrol,
Audi,15200.0,BMWorld,2018.0,67974.0,1.5,manual,petrol,106.39846123776442
Audi,15649.0,Cazoo,2017.0,15554.0,1.4,manual,petrol,-636.0160469078419
Audi,15690.0,Hilton,2016.0,30000.0,1.4,manual,petrol,1903.7972725672444
Audi,15899.0,Cazoo,2018.0,18875.0,1.5,manual,petrol,
Audi,16000.0,Marshall,2019.0,35581.0,1.5,manual,petrol,-4425.783351052967
Audi,16149.0,Cazoo,2019.0,42055.0,1.5,manual,petrol,-3076.677784405132
Audi,16200.0,BMWorld,2019.0,64031.0,1.5,manual,petrol,-1351.6549000958403
Audi,16499.0,Castle_Donington,2017.0,33323.0,1.4,manual,petrol,948.7599211669567
Audi,16600.0,BMWorld,2017.0,36130.0,1.4,manual,petrol,1869.380833402187
Audi,16650.0,Marshall,2018.0,43380.0,1.5,automatic,petrol,-2930.70166720801
